"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/30/2018","Withdrawal Arcadia Power","Withdrawal ARCADIA POWER, I IWithdrawal ARCADIA POWER, I Id: 5330903620  Co: Arcadia Power, I","188.48","debit","Utilities","Classic Checking","",""
"4/30/2018","Amazon","Withdrawal AMZ_STORECRD_PMT IWithdrawal AMZ_STORECRD_PMT Id: 9069872000  Co: Amz_Storecrd_Pmt","462.96","debit","Shopping","Classic Checking","",""
"4/29/2018","Amazon","AMAZON DIGITAL SEATTLE WA&lt;br/&gt;Predators","3.99","debit","Movies & DVDs","XXXXXXXXXX5219","",""
"4/29/2018","Cloak & Petal","CLOAK AND PETAL SAN DIEGO CA85175308119 619-501-5505 320181190207432038","148.67","debit","Restaurants","Blue Cash Preferred","",""
"4/29/2018","Rite Aid","RITE AID STORE - 067SAN DIEGO CA885487 DRUG STORE/PHARMACY 320181190204108924","11.84","debit","Pharmacy","Blue Cash Preferred","",""
"4/29/2018","Sprouts Farmers Market","SPROUTS FARMERS MARKSAN DIEGO CA000013680 8582708200 320181190195064471","25.52","debit","Groceries","Blue Cash Preferred","",""
"4/29/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181190198793862","19.79","debit","Groceries","Blue Cash Preferred","",""
"4/29/2018","Time Warner","TIME WARNER CABLE 888-TWCABLE CA84484103607 CABLE SVCS 320181190199421320","64.99","debit","Television","Blue Cash Preferred","",""
"4/28/2018","Dish Network","AUTOPAY/DISH NTWK 00ENGLEWOOD CO90952535755 800-333-3474 320181180190639118","99.18","debit","Television","Blue Cash Preferred","",""
"4/28/2018","Harvest International US LLC","HARVEST INTERNATIONASAN DIEGO CA000235043 9999999999 320181180180034587","4.11","debit","Groceries","Blue Cash Preferred","",""
"4/28/2018","Vons","VONS STORE 46SAN DIEGO CAGROCERY STORE 320181180183469147","8.57","debit","Groceries","Blue Cash Preferred","",""
"4/28/2018","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0046497 626-599-3700 320181180189434814","68.82","debit","Groceries","Blue Cash Preferred","",""
"4/28/2018","99 Ranch Market","99 RANCH #1039 00000SAN DIEGO CA000027114 9999999999 320181180179634752","17.22","debit","Groceries","Blue Cash Preferred","",""
"4/28/2018","Harvest International US LLC","HARVEST INTERNATIONASAN DIEGO CA000235096 9999999999 320181180180035332","1.12","debit","Groceries","Blue Cash Preferred","",""
"4/27/2018","Transfer from Classic Checking","Payment From Share 90 PrincipPayment From Share 90 Principal $116.13","116.13","credit","Credit Card Payment","Visa Platinum","",""
"4/27/2018","Transfer to Visa Platinum","Withdrawal To Loan 72","116.13","debit","Credit Card Payment","Classic Checking","",""
"4/27/2018","Target","TARGET BALBOA 2465 SAN DIEGO CA00821665 DISCOUNT STORE 320181170175963711","52.63","debit","Shopping","Blue Cash Preferred","",""
"4/27/2018","Rubio's","RUBIO'S #003 0000 SAN DIEGO CA55VHD5 111-111-1111 320181170168835583","22.37","debit","Fast Food","Blue Cash Preferred","",""
"4/27/2018","Target","TARGET BALBOA 2465 SAN DIEGO CA01239020 DISCOUNT STORE 320181170176303327","35.55","credit","Shopping","Blue Cash Preferred","",""
"4/27/2018","California Chicken Cafe Inc","CALIFORNIA CHICKEN CAF LOS ANGELES CA        04/26","11.00","debit","Restaurants","CHASE COLLEGE","",""
"4/27/2018","Postmates Soom Soom","POSTMATES SOOM SOOM HTTPSPOSTMATE CA         04/26","11.50","debit","Fast Food","CHASE COLLEGE","",""
"4/27/2018","Amazon Video","Amazon Video On Dema AMZN.COM/bill WA        04/27","3.99","debit","Movies & DVDs","CHASE COLLEGE","",""
"4/27/2018","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","462.96","credit","Credit Card Payment","XXXXXXXXXX5219","",""
"4/27/2018","Terence B Pegel DDS Inc","Terence B Pegel Dds San Diego CaTerence B Pegel Dds San Diego Ca Date 04/24/18 0      8114348677     6 8021","73.15","debit","Dentist","Visa Platinum","",""
"4/26/2018","Home Depot","THE HOME DEPOT SAN DIEGO CA04250068012 800-654-0688 320181160146843903","7.92","debit","Home Improvement","Blue Cash Preferred","",""
"4/26/2018","Marshalls","MARSHALLS SAN DIEGO CA00480100017 8886277425 320181160152297739","13.83","credit","Clothing","Blue Cash Preferred","",""
"4/26/2018","USPS","USPS PO 0567370109 0SAN DIEGO CA11514100662 8002758777 320181160153369132","35.75","debit","Shipping","Blue Cash Preferred","",""
"4/26/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181160150856065","56.66","debit","Groceries","Blue Cash Preferred","",""
"4/26/2018","Home Depot","THE HOME DEPOT SAN DIEGO CA04250068005 800-654-0688 320181160146698692","21.47","debit","Home Improvement","Blue Cash Preferred","",""
"4/26/2018","ATM Fee","NON-CHASE ATM WITHDRAW010873  04/268313 Beve","2.50","debit","ATM Fee","CHASE COLLEGE","",""
"4/26/2018","ATM Withdrawal","NON-CHASE ATM WITHDRAW010873  04/268313 Beve","60.00","debit","Cash & ATM","CHASE COLLEGE","",""
"4/26/2018","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","CHASE COLLEGE","",""
"4/26/2018","Amazon","Amazon Digital Svcs amzn.com/bill WA         04/25","8.99","debit","Shopping","CHASE COLLEGE","",""
"4/26/2018","Amazon Video","Amazon Video On Dema AMZN.COM/bill WA        04/26","3.99","debit","Movies & DVDs","CHASE COLLEGE","",""
"4/25/2018","Target","TARGET BALBOA 2465 SAN DIEGO CA00820937 DISCOUNT STORE 320181150143026314","43.27","debit","Shopping","Blue Cash Preferred","",""
"4/25/2018","Ichiban","ICHIBAN PB SAN DIEGO CA85353548115 USFC92109 320181150143113757","33.31","debit","Restaurants","Blue Cash Preferred","",""
"4/25/2018","Sprint PCS","SPRINT WIRELESS 800-639-6111 KSON1SEC5L0OT WIRELESSSVCS 320181150137178888","66.66","debit","Mobile Phone","Blue Cash Preferred","",""
"4/25/2018","Marshalls","MARSHALLS LA JOLLA CA00490800010 8886277425 320181150136624632","49.89","debit","Clothing","Blue Cash Preferred","",""
"4/25/2018","See's Candies","SEE'S CANDIES SAN DIEGO CA9218529 CANDY & CONFECTIONERY 320181150135122044","11.69","debit","Coffee Shops","Blue Cash Preferred","",""
"4/25/2018","Vons Fuel","VONS FUEL 46SAN DIEGO CAAUTO FUEL DISPENSER 320181150133899017","40.04","debit","Gas & Fuel","Blue Cash Preferred","",""
"4/25/2018","Shake Shack","SHAKE SHACK - CA, WESAN DIEGO CA20081 4309 LA JOLLA VILLAGE 320181150134194886","19.69","debit","Fast Food","Blue Cash Preferred","",""
"4/25/2018","New Yorker Magazine","NEW YORKER MAGAZINE NEW YORK NY413649761 PUBLICATIONS 320181150133247630","119.99","debit","Newspapers & Magazines","Blue Cash Preferred","",""
"4/25/2018","Spotify","SPOTIFY USA NEW YORKP05BB4BDFC DIRECT MKTG MISC 320181150140284839","9.99","debit","Music","Blue Cash Preferred","",""
"4/25/2018","Zara","ZARA USA 7013 0000 SAN DIEGO CA106346 212-355-1415 320181150136239452","42.99","debit","Clothing","Blue Cash Preferred","",""
"4/25/2018","Amazon Video","Amazon Video On Dema AMZN.COM/bill WA        04/25","3.99","debit","Movies & DVDs","CHASE COLLEGE","",""
"4/25/2018","Chevron","CHEVRON 0209599 LOS ANGELES CA04/24","50.92","debit","Gas & Fuel","CHASE COLLEGE","",""
"4/25/2018","Amazon","Amazon.com AMZN.COM/BILL WA04/25","45.98","debit","Shopping","CHASE COLLEGE","",""
"4/24/2018","Check 2315","Check Withdrawal 2315","5834.00","debit","Federal Tax","Classic Checking","",""
"4/24/2018","Marshalls","MARSHALLS SAN DIEGO CA00540700014 8886277425 320181140119508382","23.93","debit","Clothing","Blue Cash Preferred","",""
"4/24/2018","Marshalls","MARSHALLS SAN DIEGO CA00251000047 8886277425 320181140119477134","66.74","debit","Clothing","Blue Cash Preferred","",""
"4/24/2018","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0015604 626-599-3700 320181140121621224","45.84","debit","Groceries","Blue Cash Preferred","",""
"4/24/2018","The Taco Stand","THE TACO STAND LA 54LA JOLLA CA24224438115 8585516666 320181140114291927","8.53","debit","Restaurants","Blue Cash Preferred","",""
"4/24/2018","Cast Partner La","CAST PARTNER LA  DEPOSITPPD ID: BIZEDP","1222.16","credit","Income","CHASE COLLEGE","",""
"4/24/2018","Chevron","CHEVRON/AUTO SPA CONNC LOS ANGELES CA292349  04/24","9.41","debit","Gas & Fuel","CHASE COLLEGE","",""
"4/24/2018","AT&T","ATT*BILL PAYMENT 800-288-2020 TX04/23","134.53","debit","Home Phone","CHASE COLLEGE","",""
"4/24/2018","Pho Saigon","PHO SAIGON PEARL - LOS STRIPE.COM CA         04/22","26.91","debit","Restaurants","CHASE COLLEGE","",""
"4/24/2018","Farmers Market","SPROUTS FARMERS MARKET LOS ANGELES CA569013  04/24","10.50","debit","Groceries","CHASE COLLEGE","",""
"4/24/2018","Withdrawal Great Lakes","Withdrawal GREAT LAKES Id: 91Withdrawal GREAT LAKES Id: 9102000901  Co: Great Lakes","144.60","debit","Student Loan","Classic Checking","",""
"4/23/2018","Target","TARGET SAN DIEGO MISSAN DIEGO CA00765648 DISCOUNT STORE 320181130110987017","48.94","debit","Shopping","Blue Cash Preferred","",""
"4/23/2018","Ny Times Natl","NY TIMES NATL SALES 800-698-463853606515-0 1-800-698-4637 320181130103229161","45.60","debit","Newspapers & Magazines","Blue Cash Preferred","",""
"4/23/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181130103887098","29.00","debit","Groceries","Blue Cash Preferred","",""
"4/23/2018","CVS","CVS/PHARMACY #09 09503 Los Angeles CA621753  04/23","20.25","debit","Pharmacy","CHASE COLLEGE","",""
"4/23/2018","Weho Street Meters","WEHO Street Meters WEST HOLLYWOOCA          04/19","0.25","debit","Parking","CHASE COLLEGE","",""
"4/23/2018","McDonald's","MCDONALD'S F876 LOS ANGELES CA04/19","17.16","debit","Fast Food","CHASE COLLEGE","",""
"4/23/2018","Backyard Bowls","SQ *BACKYARD BOWLS Los Angeles CA            04/22","20.18","debit","Restaurants","CHASE COLLEGE","",""
"4/23/2018","Whole Foods","WHOLEFDS HOL 101 787 WEST HOLLYWOO CA613454  04/23","10.39","debit","Groceries","CHASE COLLEGE","",""
"4/23/2018","Vons","Vons Conv #4627 San Diego CaVons Conv #4627 San Diego Ca Date 04/21/18 1      8111767391     5 5411","8.57","debit","Groceries","Visa Platinum","",""
"4/23/2018","Vons","Vons #2116 San Diego Ca DateVons #2116 San Diego Ca Date 04/21/18 1      8111767390     5 5411","54.06","debit","Groceries","Visa Platinum","",""
"4/22/2018","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Danco 10062 Toilet Seat Bumper&lt;br/&gt;iPhone 6s Plus, iPhone 6 Plus&lt;br/&gt;SHIPPING AND TAX","13.34","debit","Shopping","XXXXXXXXXX5219","",""
"4/22/2018","Brandy Melville","BRANDY MELVILLE SAN DIEGO CA85353538112 310-773-5405 320181120082219260","37.71","debit","Clothing","Blue Cash Preferred","",""
"4/21/2018","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Swatch YLS141GC Tresor Blanc W","136.50","debit","Shopping","XXXXXXXXXX5219","",""
"4/21/2018","Club San Diego","MAVERICKS BEACH CLUBSAN DIEGO CA73011008112 INFO@MAVERICKSSD.COM 320181110067060621","44.18","debit","Personal Care","Blue Cash Preferred","",""
"4/20/2018","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;vanow Glass Grinder kit for He","16.99","debit","Shopping","XXXXXXXXXX5219","",""
"4/20/2018","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0081204 626-599-3700 320181100056990663","31.02","debit","Groceries","Blue Cash Preferred","",""
"4/20/2018","Teleflora","TELEFLORA.COM LOS ANGELES CA038451358 800-822-9547 320181100057379001","55.94","debit","Gift","Blue Cash Preferred","",""
"4/20/2018","Forever 21","0038 FOREVER 21 0038SAN DIEGO CA42124640 858-678-9483 320181100053960871","19.77","debit","Clothing","Blue Cash Preferred","",""
"4/20/2018","Ross","ROSS DRESS FOR LESS LA JOLLA CA00292001473 999-000-0000 320181100054275122","6.45","debit","Clothing","Blue Cash Preferred","",""
"4/20/2018","Fedwire Via Bnp","FEDWIRE CREDIT VIA: BNP PARIBASU.S.A - NEW YORK BRANCH/026007689 B/O: 1/MME GEORGES KEMPENAERS 3/FR/66000 PERPIGNAN REF: CHASE NYC/CTR/BNF=LOLA DIMM-KEMPENAERS OR JOHN R DIMM LOS ANGELES, CA 900123120/AC-000000006678 RFB=YS110 60867100753 OBI=CADEAU D A","14975.00","credit","Income","CHASE COLLEGE","",""
"4/20/2018","Domestic Incoming Wire","DOMESTIC INCOMING WIRE FEE","15.00","debit","Fees & Charges","CHASE COLLEGE","",""
"4/20/2018","Chop Stop","CHOP STOP 3 WEST HOLLYWOO CA04/19","9.99","debit","Personal Care","CHASE COLLEGE","",""
"4/20/2018","CVS","CVS/PHARM 09503--8490 LOS ANGELES CA         04/20","5.46","debit","Pharmacy","CHASE COLLEGE","",""
"4/19/2018","Target","TARGET.COM 800-591-3869 MN10196194376 800-591-3869 320181090046422494","112.76","debit","Shopping","Blue Cash Preferred","",""
"4/19/2018","Target","TARGET.COM 800-591-3869 MN10196194376 800-591-3869 320181090047069833","269.36","debit","Shopping","Blue Cash Preferred","",""
"4/19/2018","Sprouts Farmers Market","SPROUTS FARMERS MARKSAN DIEGO CA000031728 8582708200 320181090036480270","6.93","debit","Groceries","Blue Cash Preferred","",""
"4/19/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181090040082114","25.07","debit","Groceries","Blue Cash Preferred","",""
"4/19/2018","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Bissell Dust Bag 3-pack for Zi","7.48","debit","Shopping","XXXXXXXXXX5219","",""
"4/19/2018","CVS","CVS/PHARMACY #09 09503 Los Angeles CA149344  04/19","24.50","debit","Pharmacy","CHASE COLLEGE","",""
"4/19/2018","Check","CHECK 1537","1150.00","debit","Check","CHASE COLLEGE","",""
"4/19/2018","Sprouts Farmers Market","Sprouts Farmers Mar San Diego CaSprouts Farmers Mar San Diego Ca Date 04/17/18 1      8107084415     0 5411","18.61","debit","Groceries","Visa Platinum","",""
"4/19/2018","Abbey Real Texas","Abbey's Real Texas Bbq San DiegoAbbey's Real Texas Bbq San Diego Ca Date 04/18/18 0      8108661630     5 5812","15.00","debit","Restaurants","Visa Platinum","",""
"4/19/2018","Deposit Ivy Investments","Deposit IVY INVESTMENTS Id: 1Deposit IVY INVESTMENTS Id: 1431244426  Co: Ivy Investments","30000.00","credit","Income","Classic Checking","",""
"4/18/2018","CVS","CVS PHARMACY SAN DIEGO CA10032513 8007467287 320181080025177390","20.16","debit","Pharmacy","Blue Cash Preferred","",""
"4/18/2018","Kaiser Permanente","KAISER 0809140 SAN DIEGO CA0063509902 KAISER 320181080026801759","65.00","debit","Health Insurance","Blue Cash Preferred","",""
"4/18/2018","Eden Sky","EDEN SKY 1-1 LOS ANGELES CA04/17","39.32","debit","Clothing","CHASE COLLEGE","",""
"4/18/2018","La City Parking","LA CITY PARKING METER LOS ANGELES CA         04/17","0.50","debit","Parking","CHASE COLLEGE","",""
"4/17/2018","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0098631 626-599-3700 320181070008459971","53.78","debit","Groceries","Blue Cash Preferred","",""
"4/17/2018","Shell","SHELL Service Station LOS ANGELES CA 111124  04/17","9.88","debit","Public Transportation","CHASE COLLEGE","",""
"4/17/2018","Shell","SHELL Service Station LOS ANGELES CA 011561  04/17","19.05","debit","Public Transportation","CHASE COLLEGE","",""
"4/17/2018","Trader Joe's","TRADER JOE'S # 040 WEST HOLLYWOOCA  197253  04/17","5.98","debit","Groceries","CHASE COLLEGE","",""
"4/17/2018","Withdrawal Dept Education","Withdrawal DEPT EDUCATION Id:Withdrawal DEPT EDUCATION Id: 9102001001  Co: Dept Education","864.68","debit","Student Loan","Classic Checking","",""
"4/16/2018","ATM Fee","NON-CHASE ATM WITHDRAW177990  04/158313 Beve","2.50","debit","ATM Fee","CHASE COLLEGE","",""
"4/16/2018","ATM Withdrawal","NON-CHASE ATM WITHDRAW177990  04/158313 Beve","60.00","debit","Cash & ATM","CHASE COLLEGE","",""
"4/16/2018","Motorino Pizza House","MOTORINO PIZZA HOUSESAN DIEGO CA68820089 619-710-5515 320181060993863688","22.01","debit","Restaurants","Blue Cash Preferred","",""
"4/16/2018","Panda Express","PANDA EXPRESS #2951 SAN DIEGO CA0000909 626-799-9898 320181060994176910","15.00","debit","Fast Food","Blue Cash Preferred","",""
"4/16/2018","CVS","CVS PHARMACY SAN DIEGO CA10015033 8007467287 320181060993095073","36.98","debit","Pharmacy","Blue Cash Preferred","",""
"4/16/2018","TaxACT","TAXACT ONLINE 2 319-373-3600 IA3C4B4564 TAX SOFTWARE 320181060985485287","39.95","debit","Taxes","Blue Cash Preferred","",""
"4/16/2018","TaxACT","TAXACT ONLINE 2 319-373-3600 IA3C4B4693 TAX SOFTWARE 320181060985869506","39.99","debit","Taxes","Blue Cash Preferred","",""
"4/16/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181060990648885","29.02","debit","Groceries","Blue Cash Preferred","",""
"4/16/2018","Trader Joe's","TRADER JOE'S # 040 WEST HOLLYWOOCA  422573  04/16","6.88","debit","Groceries","CHASE COLLEGE","",""
"4/16/2018","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","CHASE COLLEGE","",""
"4/16/2018","Chevron","CHEVRON/AUTO SPA CONNC LOS ANGELES CA796717  04/14","9.41","debit","Gas & Fuel","CHASE COLLEGE","",""
"4/16/2018","Vine","VINE AMERICAN PARTY ST LOS ANGELES CA        04/14","14.13","debit","Food & Dining","CHASE COLLEGE","",""
"4/16/2018","Venmo","VENMO 855-812-4430 NY04/15","11.60","debit","Transfer","CHASE COLLEGE","",""
"4/16/2018","Spoke Weal","SPOKE  WEAL SANTA MONIC CA04/14","180.00","debit","Hair","CHASE COLLEGE","",""
"4/16/2018","The Reformation","THEREFORMATION.COM LOS ANGELES CA            04/14","107.31","debit","Business Services","CHASE COLLEGE","",""
"4/16/2018","Kaiser Permanente","KAISER 0809305 LOS ANGELES CA04/16","65.00","debit","Health Insurance","CHASE COLLEGE","",""
"4/16/2018","Cost Plus World Market","COST PLUS WLD #174 LOS ANGELES CA            04/16","19.72","debit","Furnishings","CHASE COLLEGE","",""
"4/16/2018","CVS","CVS/PHARM 09661--6360 LOS ANGELES CA         04/15","5.48","debit","Pharmacy","CHASE COLLEGE","",""
"4/16/2018","Sweetgreen Third St","SWEETGREEN THIRD ST. LOS ANGELESCA          04/13","13.96","debit","Restaurants","CHASE COLLEGE","",""
"4/16/2018","ABM Parking","ABM PARKING FARMERS MA LOS ANGELES CA        04/13","4.00","debit","Parking","CHASE COLLEGE","",""
"4/16/2018","Ibiza Tan","IBIZA TAN LOS ANGELES CA04/13","36.00","debit","Alcohol & Bars","CHASE COLLEGE","",""
"4/16/2018","Kp Rx","KP RX01007 LOS ANGELES CA04/16","12.69","debit","Pharmacy","CHASE COLLEGE","",""
"4/15/2018","El Pescador Fish Market","El Pescador Fish Marke La JollaEl Pescador Fish Marke La Jolla Ca Date 04/14/18 1      8104679010     2 5812","15.13","debit","Groceries","Visa Platinum","",""
"4/15/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181050975244588","39.49","debit","Groceries","Blue Cash Preferred","",""
"4/15/2018","People Operatonew York","THE PEOPLE'S OPERATONEW YORK NY1049722404 844-876-8326 320181050980061676","18.24","debit","Mobile Phone","Blue Cash Preferred","",""
"4/15/2018","Usa Teso","USA 63097 TESO630970SAN DIEGO CA501000970 0000000000 320181050974177647","8.50","debit","Gas & Fuel","Blue Cash Preferred","",""
"4/15/2018","Kp Rx Mailorder","KP RX01820 MAILORDERDOWNEY CAMID5NTKJ0E 562-461-6070 320181050979005096","19.03","debit","Pharmacy","Blue Cash Preferred","",""
"4/15/2018","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0088594 626-599-3700 320181050978961293","10.97","debit","Groceries","Blue Cash Preferred","",""
"4/14/2018","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;1500 Thread Count Duvet Cover&lt;br/&gt;Allrange Hypoallergenic Feathe","104.98","debit","Shopping","XXXXXXXXXX5219","",""
"4/14/2018","Rubio's","RUBIO'S #174 0000 CHULA VISTA CA55HW2X 619-427-3811 320181040961203097","12.21","debit","Fast Food","Blue Cash Preferred","",""
"4/14/2018","Vons Fuel","VONS FUEL 46SAN DIEGO CAAUTO FUEL DISPENSER 320181040960066642","44.20","debit","Gas & Fuel","Blue Cash Preferred","",""
"4/14/2018","Sunshades Eyewear Pty","Payment to SUNSHADES EYEWEAR PTY LIMITED","119.00","debit","Vacation","PayPal Account","",""
"4/13/2018","Rubio's","Rubio's #003 San Diego Ca DatRubio's #003 San Diego Ca Date 04/12/18 0      8102548613     5 5814","20.75","debit","Fast Food","Visa Platinum","",""
"4/13/2018","Citysd Parking Date","Citysd Parking 28881 San Diego CCitysd Parking 28881 San Diego Ca Date 04/12/18 0      8102945882     5 7523","2.00","debit","Parking","Visa Platinum","",""
"4/13/2018","Citysd Parking Date","Citysd Parking 28881 San Diego CCitysd Parking 28881 San Diego Ca Date 04/12/18 0      8102945881     5 7523","2.00","debit","Parking","Visa Platinum","",""
"4/13/2018","Target","TARGET SAN DIEGO MISSAN DIEGO CA00924371 DISCOUNT STORE 320181030949937874","30.73","debit","Shopping","Blue Cash Preferred","",""
"4/13/2018","H&M","H&M0162 0000 SAN DIEGO CA00000110255 855-466-7467 320181030947137915","19.38","debit","Clothing","Blue Cash Preferred","",""
"4/13/2018","Elle Magazine","ELLE MAGAZINE 2 CHARLOTTE NC109488442 800-876-8775 320181030938750676","24.97","debit","Newspapers & Magazines","Blue Cash Preferred","",""
"4/13/2018","Chewy.com Fl Pet","CHEWY.COM (800)672-4399 FLPMT-8157297 PET SUPPLIES 320181030944732170","52.85","debit","Pet Food & Supplies","Blue Cash Preferred","",""
"4/13/2018","Marshalls","MARSHALLS SAN DIEGO CA00471000058 8886277425 320181030944302752","26.92","debit","Clothing","Blue Cash Preferred","",""
"4/13/2018","Robert Cromeans Salon","A ROBERT CROMEANS SASAN DIEGO CA71900018 619-595-1120 320181030943905327","92.00","debit","Hair","Blue Cash Preferred","",""
"4/13/2018","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Vectra Green For Large Cats Ov","64.99","debit","Shopping","XXXXXXXXXX5219","",""
"4/12/2018","KFC","Kfc C191011 San Diego Ca DateKfc C191011 San Diego Ca Date 04/11/18 0      8101347333     6 5814","6.01","debit","Fast Food","Visa Platinum","",""
"4/12/2018","Trader Joe's","Trader Joe's #021 Qps San DiegoTrader Joe's #021 Qps San Diego Ca Date 04/11/18 0      8101818669     6 5411","51.09","debit","Groceries","Visa Platinum","",""
"4/12/2018","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320181020927097437","21.05","debit","Groceries","Blue Cash Preferred","",""
"4/12/2018","Cvs Pharmacy Los","CVS/PHARMACY #09 09503 Los Angeles CA        04/12 Purchase $10.05 Cash Back $20.00","30.05","debit","Groceries","CHASE COLLEGE","",""
"4/12/2018","Trader Joe's","TRADER JOE'S #240 QPS LOS ANGELES CA 269005  04/12","25.53","debit","Groceries","CHASE COLLEGE","",""
"4/12/2018","Tiger Mist Holdings","Purchase from Tiger Mist Holdings Pty Ltd t/a I AM GIA","269.96","debit","Clothing","PayPal Account","",""
"4/11/2018","Daphne La Jolla","DAPHNE'S LA JOLLA 54LA JOLLA CA00096206327 8586236940 320181010913128238","7.53","debit","Restaurants","Blue Cash Preferred","",""
"4/11/2018","Forever 21","0038 FOREVER 21 0038SAN DIEGO CA30247350 858-678-9483 320181010908694086","48.16","debit","Clothing","Blue Cash Preferred","",""
"4/11/2018","Grand Animal Hospital","GRAND ANIMAL HOSPITASAN DIEGO CA73011008099 GRANDANIMALHOSPITAL@Y 320181010918323652","26.60","debit","Pet Food & Supplies","Blue Cash Preferred","",""
"4/11/2018","Netflix","NETFLIX.COM 866-579-7172 CA21248156083 SUBSCRIPTION 320181010910517876","10.99","debit","Movies & DVDs","Blue Cash Preferred","",""
"4/11/2018","Chevron","CHEVRON/AUTO SPA CONNC LOS ANGELES CA306248  04/11","9.41","debit","Gas & Fuel","CHASE COLLEGE","",""
